Customer ID,City,Country,Location Code,Gender,Marital Status,Education,Employment Status,Income (USD),Effective To Date,Customer Lifetime Value (USD),Coverage,Monthly Premium Auto (USD),Number of Policies,Policy Type,Policy,Months Since Policy Inception,Months Since Last Claim,Sales Channel,Response,Renew Offer Type,Number of Open Complaints,Total Claim Amount (USD),Vehicle Class,Vehicle Size
BU79786,Manama,Bahrain,Suburban,F,Married,Bachelor,Employed,"56,274.00",24-Feb-11,"2,763.52",Basic,69.00,1,Corporate Auto,Corporate L3,5,32,Agent,No,Offer1,0,384.81,Two-Door Car,Medsize
QZ44356,Saar,Bahrain,Suburban,F,Single,Bachelor,Unemployed,0.00,31-Jan-11,"6,979.54",Extended,94.00,8,Personal Auto,Personal L3,42,13,Agent,No,Offer3,0,"1,131.46",Four-Door Car,Medsize
AI49188,Sitra,Bahrain,Suburban,F,Married,Bachelor,Employed,"48,767.00",19-Feb-11,"12,887.43",Premium,108.00,2,Personal Auto,Personal L3,38,18,Agent,No,Offer1,0,566.47,Two-Door Car,Medsize
WW63253,Riffa,Bahrain,Suburban,M,Married,Bachelor,Unemployed,0.00,20-Jan-11,"7,645.86",Basic,106.00,7,Corporate Auto,Corporate L2,65,18,Call Center,No,Offer1,0,529.88,SUV,Medsize
HB64268,Manama,Bahrain,Rural,M,Single,Bachelor,Employed,"43,836.00",3-Feb-11,"2,813.69",Basic,73.00,1,Personal Auto,Personal L1,44,12,Agent,No,Offer1,0,138.13,Four-Door Car,Medsize
OC83172,Jaww,Bahrain,Rural,F,Married,Bachelor,Employed,"62,902.00",25-Jan-11,"8,256.30",Basic,69.00,2,Personal Auto,Personal L3,94,14,Web,Yes,Offer2,0,159.38,Two-Door Car,Medsize
XZ87318,Jaww,Bahrain,Suburban,F,Married,College,Employed,"55,350.00",24-Feb-11,"5,380.90",Basic,67.00,9,Corporate Auto,Corporate L3,13,0,Agent,Yes,Offer1,0,321.60,Four-Door Car,Medsize
CF85061,Saar,Bahrain,Urban,M,Single,Master,Unemployed,0.00,18-Jan-11,"7,216.10",Premium,101.00,4,Corporate Auto,Corporate L3,68,0,Agent,No,Offer1,0,363.03,Four-Door Car,Medsize
DY87989,Jaww,Bahrain,Suburban,M,Divorced,Bachelor,Medical Leave,"14,072.00",26-Jan-11,"24,127.50",Basic,71.00,2,Corporate Auto,Corporate L3,3,13,Agent,Yes,Offer1,0,511.20,Four-Door Car,Medsize
BQ94931,Jaww,Bahrain,Urban,F,Married,College,Employed,"28,812.00",17-Feb-11,"7,388.18",Extended,93.00,8,Special Auto,Special L2,7,17,Branch,No,Offer2,0,425.53,Four-Door Car,Medsize
SX51350,Riffa,Bahrain,Suburban,M,Single,College,Unemployed,0.00,21-Feb-11,"4,738.99",Basic,67.00,3,Personal Auto,Personal L3,5,23,Agent,No,Offer1,0,482.40,Four-Door Car,Small
VQ65197,Riffa,Bahrain,Suburban,F,Married,College,Unemployed,0.00,6-Jan-11,"8,197.20",Basic,110.00,3,Personal Auto,Personal L3,87,27,Agent,No,Offer2,0,528.00,SUV,Medsize
DP39365,Riffa,Bahrain,Urban,M,Married,Master,Employed,"77,026.00",6-Feb-11,"8,798.80",Premium,110.00,3,Corporate Auto,Corporate L1,82,9,Agent,No,Offer2,2,472.03,Four-Door Car,Medsize
SJ95423,Saar,Bahrain,Suburban,M,Married,High School or Below,Employed,"99,845.00",10-Jan-11,"8,819.02",Basic,110.00,8,Corporate Auto,Corporate L3,25,23,Branch,Yes,Offer2,1,528.00,SUV,Medsize
IL66569,Riffa,Bahrain,Urban,M,Single,College,Employed,"83,689.00",18-Jan-11,"5,384.43",Basic,70.00,8,Corporate Auto,Corporate L3,10,21,Call Center,No,Offer4,2,307.14,Four-Door Car,Medsize
BW63560,Jaww,Bahrain,Rural,F,Married,Bachelor,Employed,"24,599.00",17-Jan-11,"7,463.14",Basic,64.00,2,Corporate Auto,Corporate L2,50,12,Branch,No,Offer2,1,42.92,Four-Door Car,Medsize
FV94802,Sitra,Bahrain,Suburban,M,Married,High School or Below,Medical Leave,"25,049.00",6-Feb-11,"2,566.87",Basic,67.00,1,Personal Auto,Personal L3,7,14,Call Center,No,Offer2,0,454.25,Two-Door Car,Medsize
OE15005,Riffa,Bahrain,Suburban,M,Married,College,Medical Leave,"28,855.00",5-Jan-11,"3,945.24",Basic,101.00,1,Personal Auto,Personal L2,59,12,Call Center,No,Offer3,0,647.44,SUV,Medsize
WC83389,Jaww,Bahrain,Urban,M,Married,College,Employed,"51,148.00",27-Feb-11,"5,710.33",Basic,72.00,7,Personal Auto,Personal L2,1,9,Branch,No,Offer2,0,308.98,Four-Door Car,Medsize
FL50705,Riffa,Bahrain,Suburban,F,Married,High School or Below,Employed,"66,140.00",14-Jan-11,"8,162.62",Premium,101.00,3,Corporate Auto,Corporate L2,21,11,Call Center,No,Offer1,0,484.80,Four-Door Car,Small
ZK25313,Jaww,Bahrain,Suburban,M,Single,High School or Below,Employed,"57,749.00",19-Feb-11,"2,872.05",Basic,74.00,1,Personal Auto,Personal L2,21,31,Branch,No,Offer1,0,355.20,Two-Door Car,Medsize
SV62436,Manama,Bahrain,Suburban,F,Divorced,Bachelor,Disabled,"13,789.00",21-Jan-11,"3,041.79",Extended,79.00,1,Personal Auto,Personal L3,49,8,Call Center,No,Offer4,0,379.20,Four-Door Car,Medsize
YH23384,Saar,Bahrain,Suburban,M,Divorced,Bachelor,Medical Leave,"14,072.00",26-Jan-11,"24,127.50",Basic,71.00,2,Personal Auto,Personal L3,3,13,Agent,Yes,Offer1,0,511.20,Four-Door Car,Medsize
TZ98966,Sitra,Bahrain,Suburban,F,Single,Bachelor,Unemployed,0.00,24-Feb-11,"2,450.19",Basic,73.00,1,Corporate Auto,Corporate L3,44,4,Branch,No,Offer1,3,554.38,Four-Door Car,Medsize
HM55802,Riffa,Bahrain,Suburban,F,Married,Bachelor,Disabled,"17,870.00",5-Feb-11,"2,392.11",Basic,61.00,1,Corporate Auto,Corporate L2,91,30,Branch,No,Offer2,0,439.20,Four-Door Car,Medsize
FS42516,Jaww,Bahrain,Suburban,M,Married,College,Employed,"97,541.00",29-Jan-11,"5,802.07",Basic,72.00,3,Personal Auto,Personal L3,1,22,Call Center,No,Offer2,0,389.19,Four-Door Car,Large
US89481,Riffa,Bahrain,Suburban,F,Single,Bachelor,Unemployed,0.00,28-Feb-11,"3,946.37",Premium,111.00,1,Personal Auto,Personal L3,47,15,Agent,No,Offer1,0,799.20,Four-Door Car,Small
